sampleid;piglet
1104;62019
1112;62014
1116;62256
1121;62332
1128;62156
1136;62331
1144;62206
1148;62016
1152;62212
1160;62097
1105;62342
1113;62395
1120;62121
1129;62132
1133;62167
1137;62366
1145;62045
1153;62054
1157;62396
1161;62125
1106;62309
1110;62248
1114;62147
1122;62250
1130;62137
1138;62320
1142;62244
1146;62226
1154;62224
1162;62281
1111;62083
1115;62009
1119;62076
1127;62414
1131;62441
1135;62080
1143;62233
1151;62412
1155;62006
1159;62235
